accident,development,paid
2011,2011,5946975
2012,2012,6346756
2013,2013,6269090
2014,2014,5863015
2015,2015,5778885
2016,2016,6184793
2017,2017,5600184
2018,2018,5288066
2019,2019,5290793
2020,2020,5675568
2011,2012,3721237
2012,2013,3246406
2013,2014,2976223
2014,2015,2683224
2015,2016,2745229
2016,2017,2828338
2017,2018,2893207
2018,2019,2440103
2019,2020,2357936
2011,2013,895717
2012,2014,723222
2013,2015,847053
2014,2016,722532
2015,2017,653894
2016,2018,572765
2017,2019,563114
2018,2020,528043
2011,2014,207760
2012,2015,151797
2013,2016,262768
2014,2017,190653
2015,2018,273395
2016,2019,244899
2017,2020,225517
2011,2015,206704
2012,2016,67824
2013,2017,152703
2014,2018,132976
2015,2019,230288
2016,2020,104957
2011,2016,62124
2012,2017,36603
2013,2018,65444
2014,2019,88340
2015,2020,105224
2011,2017,65813
2012,2018,52752
2013,2019,53545
2014,2020,43329
2011,2018,14850
2012,2019,11186
2013,2020,8924
2011,2019,11130
2012,2020,11646
2011,2020,15813
